iter	MAE
0	70.21859133
1	70.16099085
2	70.10591645
3	70.05153292
4	69.99121022
5	69.93191518
6	69.87474753
7	69.81719981
8	69.76064073
9	69.70423493
10	69.65029833
11	69.59083254
12	69.53305041
13	69.47777392
14	69.42188813
15	69.37292709
16	69.31958989
17	69.26252197
18	69.20958475
19	69.15636474
20	69.10276391
21	69.04829725
22	68.99791375
23	68.94585833
24	68.89367863
25	68.84405834
26	68.79136106
27	68.74014769
28	68.68707928
29	68.63835683
30	68.58905037
31	68.54144091
32	68.49467911
33	68.44588108
34	68.3979639
35	68.34465087
36	68.30104607
37	68.25386215
38	68.20820593
39	68.16290407
40	68.12161596
41	68.07676595
42	68.03208128
43	67.98807791
44	67.95037732
45	67.90462544
46	67.86579126
47	67.81954797
48	67.77654977
49	67.73415567
50	67.69290237
51	67.65220745
52	67.60894507
53	67.56816468
54	67.5277538
55	67.48821391
56	67.44673988
57	67.40563723
58	67.36730025
59	67.32775465
60	67.28651461
61	67.24829489
62	67.20806978
63	67.16898768
64	67.13929664
65	67.09878624
66	67.06180018
67	67.02678222
68	66.98910906
69	66.95444483
70	66.91696658
71	66.88086349
72	66.84393801
73	66.80868504
74	66.77617041
75	66.74257498
76	66.70630042
77	66.66993302
78	66.6332879
79	66.59767263
80	66.56596344
81	66.53201875
82	66.49812755
83	66.4687616
84	66.43484194
85	66.40343642
86	66.37059737
87	66.34131525
88	66.3115235
89	66.28217284
90	66.25252599
91	66.22528699
92	66.19409562
93	66.16770617
94	66.13710737
95	66.10815819
96	66.07804386
97	66.04607579
98	66.01930619
99	65.9905169
100	65.96234237
101	65.93468193
102	65.90784286
103	65.88182252
104	65.85207995
105	65.82398106
106	65.79804332
107	65.77208352
108	65.74567919
109	65.72124191
110	65.69234425
111	65.66719092
112	65.64097167
113	65.61544077
114	65.5886083
115	65.56178254
116	65.53816684
117	65.51598815
118	65.49031721
119	65.46619931
120	65.44241537
121	65.41711549
122	65.39306158
123	65.37060734
124	65.34928846
125	65.32593385
126	65.30076338
127	65.27800049
128	65.25659653
129	65.23247653
130	65.21187653
131	65.19261606
132	65.17125615
133	65.14780158
134	65.12709816
135	65.10537162
136	65.08115518
137	65.05806705
138	65.03638053
139	65.01488531
140	64.99650258
141	64.97394202
142	64.95452403
143	64.93591362
144	64.91677935
145	64.89604264
146	64.87835146
147	64.86045943
148	64.84260309
149	64.82407005
150	64.80626342
151	64.78902468
152	64.77135125
153	64.75154218
154	64.73402209
155	64.71844411
156	64.70112814
157	64.6820802
158	64.6667125
159	64.64891549
160	64.6333008
161	64.61686619
162	64.60070716
163	64.58657563
164	64.56808571
165	64.55045358
166	64.53509367
167	64.52023577
168	64.50451986
169	64.49156201
170	64.47959443
171	64.46368836
172	64.44693222
173	64.43164492
174	64.4170815
175	64.40121093
176	64.38524888
177	64.3696969
178	64.35185449
179	64.33639647
180	64.32153356
181	64.3061646
182	64.29167136
183	64.27778849
184	64.26442019
185	64.25083374
186	64.23878781
187	64.22568597
188	64.20959489
189	64.19327008
190	64.17924237
191	64.16615949
192	64.15302177
193	64.13853984
194	64.12609827
195	64.11369868
196	64.10141632
197	64.08597516
198	64.07371836
199	64.06165206
200	64.04995984
201	64.03757017
202	64.02528417
203	64.01644213
204	64.00548509
205	63.99397968
206	63.98080861
207	63.9704259
208	63.95805961
209	63.94487805
210	63.93462047
211	63.92396609
212	63.91509026
213	63.90516196
214	63.89537222
215	63.88470248
216	63.87566053
217	63.86523201
218	63.85539732
219	63.84522344
220	63.83354259
221	63.82200001
222	63.80989183
223	63.80026949
224	63.78828451
225	63.77711589
226	63.76526199
227	63.75644411
228	63.74435672
229	63.73388453
230	63.723515
231	63.71287454
232	63.70343744
233	63.69182541
234	63.6839081
235	63.67548657
236	63.66512801
237	63.65617586
238	63.64547947
239	63.63507643
240	63.62802342
241	63.61861618
242	63.61119973
243	63.60315828
244	63.59616415
245	63.58566954
246	63.57816456
247	63.57137639
248	63.56285973
249	63.55451491
250	63.54463211
251	63.53686966
252	63.52875733
253	63.51889302
254	63.51158865
255	63.50247472
256	63.49411838
257	63.48477704
258	63.4756809
259	63.46732165
260	63.46055064
261	63.45553481
262	63.45024113
263	63.44441131
264	63.43517284
265	63.42800758
266	63.42026762
267	63.41092812
268	63.40423076
269	63.3975492
270	63.38947785
271	63.38148793
272	63.37537728
273	63.36855874
274	63.36037718
275	63.3539915
276	63.34783914
277	63.34113187
278	63.33287143
279	63.32453092
280	63.31862473
281	63.31143818
282	63.30365896
283	63.29750339
284	63.29154938
285	63.28476233
286	63.27831173
287	63.27090692
288	63.26358073
289	63.25729366
290	63.25116605
291	63.24545265
292	63.23968687
293	63.23312678
294	63.2290307
295	63.22453191
296	63.22061994
297	63.21477951
298	63.20828839
299	63.20131892
300	63.19625519
301	63.19039525
302	63.18333394
303	63.17665243
304	63.16981061
305	63.16467311
306	63.15834689
307	63.15292299
308	63.14726728
309	63.14024891
310	63.13591711
311	63.12896771
312	63.12264194
313	63.11632143
314	63.11120786
315	63.10552497
316	63.09959982
317	63.09424838
318	63.08781485
319	63.08155192
320	63.07631862
321	63.07103591
322	63.06579094
323	63.06064475
324	63.05663309
325	63.05017804
326	63.045667
327	63.04118155
328	63.03706012
329	63.03135743
330	63.02690266
331	63.0213762
332	63.01833521
333	63.01340957
334	63.00893434
335	63.00516332
336	63.00217994
337	62.99767953
338	62.99216606
339	62.98715329
340	62.98343757
341	62.97927901
342	62.9742211
343	62.97190332
344	62.96676516
345	62.96146369
346	62.95726987
347	62.95265953
348	62.94799456
349	62.94358655
350	62.93917861
351	62.93619231
352	62.93371085
353	62.92939372
354	62.9247616
355	62.92193497
356	62.91707112
357	62.91282237
358	62.90857451
359	62.90618573
360	62.90308151
361	62.89859393
362	62.89600861
363	62.89306269
364	62.88993533
365	62.8858158
366	62.88369313
367	62.87905592
368	62.87696796
369	62.87412288
370	62.87116355
371	62.86654051
372	62.86322977
373	62.86042576
