iter	MAE
0	70.23199899
1	70.17381873
2	70.11609627
3	70.05691613
4	69.99913731
5	69.94332384
6	69.88795431
7	69.83143492
8	69.77670895
9	69.72007344
10	69.66466698
11	69.61646318
12	69.56121048
13	69.50737022
14	69.45439656
15	69.39893253
16	69.3458139
17	69.28969422
18	69.23444435
19	69.18089337
20	69.12829269
21	69.07370213
22	69.02042759
23	68.97025739
24	68.91966722
25	68.87019691
26	68.81696542
27	68.76726897
28	68.71559663
29	68.6680083
30	68.61970765
31	68.57144114
32	68.52422058
33	68.47664847
34	68.4293208
35	68.38277448
36	68.33747155
37	68.28988222
38	68.24864081
39	68.2037404
40	68.16095226
41	68.11768723
42	68.07245572
43	68.02690205
44	67.98373817
45	67.93836717
46	67.895236
47	67.85291944
48	67.80887624
49	67.76930791
50	67.72815783
51	67.68307019
52	67.64418169
53	67.60481276
54	67.56226383
55	67.52272575
56	67.48444421
57	67.44175499
58	67.40357965
59	67.36354561
60	67.32682661
61	67.29079111
62	67.25240753
63	67.21266279
64	67.1762055
65	67.13596076
66	67.10106218
67	67.06541422
68	67.03002275
69	66.9947296
70	66.95948315
71	66.92495441
72	66.8910195
73	66.85652365
74	66.82248859
75	66.78689425
76	66.74976253
77	66.71675265
78	66.68034083
79	66.64848632
80	66.61731634
81	66.5826884
82	66.5489103
83	66.51323511
84	66.47942938
85	66.44786891
86	66.41443206
87	66.38292989
88	66.35142552
89	66.32056906
90	66.28763375
91	66.25830632
92	66.22713584
93	66.19931157
94	66.17207647
95	66.14426006
96	66.11620819
97	66.08526893
98	66.05731977
99	66.02686742
100	65.9979314
101	65.97072211
102	65.94085264
103	65.91139825
104	65.88341333
105	65.85586703
106	65.83028619
107	65.80272724
108	65.77569184
109	65.7503389
110	65.72303567
111	65.69566887
112	65.6691122
113	65.64309161
114	65.61640548
115	65.59042778
116	65.56620121
117	65.54259563
118	65.5190989
119	65.49521561
120	65.4701641
121	65.44455422
122	65.42043589
123	65.39530844
124	65.36981917
125	65.34650483
126	65.3206978
127	65.29624433
128	65.27586992
129	65.25332744
130	65.23169157
131	65.20964692
132	65.18650252
133	65.1656762
134	65.14488416
135	65.12700687
136	65.10804962
137	65.08531815
138	65.06278525
139	65.04291879
140	65.02084481
141	65.00224658
142	64.98012019
143	64.95959991
144	64.93824699
145	64.916634
146	64.8955207
147	64.87517568
148	64.85484666
149	64.83740718
150	64.8186251
151	64.80322543
152	64.78851326
